Country,Mbps,htexport,oecd
Argentina,12248,761458020,0
Australia,120000,3101865568,1
Austria,54616,14708635263,1
Barbados,600,12900277,0
Belgium,117535,20958529240,1
Brazil,27449,5953916611,0
Bulgaria,2465,251526175,0
Canada,217521,21526068655,1
Chile,12704,265703543,1
China,136106,1.63E+11,0
Colombia,22273,352837891,0
Costa Rica,1044,1309056581,0
Croatia,4771,756792464,0
Czech Republic,22206,7828890431,1
Denmark,188455,9971737472,1
Ecuador,635,48764809,0
Egypt,3657,13508500,0
Estonia,4800,669725308,1
Finland,22617,10615713224,1
France,200000,66065406510,1
Germany,566056,1.36E+11,1
Greece,6513,1070613132,1
Guatemala,706,89757562,0
"Hong Kong SAR, China",65625,2143638489,0
Hungary,10000,14225440000,1
Iceland,1240,67883235,1
India,20000,3355934439,0
Indonesia,1507,5902813446,0
Iran,1000,70762119,0
Ireland,24587,30424804143,1
Israel,17000,5440699000,1
Italy,119794,24517923411,1
Japan,132608,1.26E+11,1
"Korea, Rep.",49766,76117485438,1
Kuwait,882,1348493,0
Latvia,2248,131307153,0
Lithuania,4985.5,253219451,0
Luxembourg,9450,1063132018,1
Macau,1592,9961645,0
Malaysia,3193,53268141268,0
Malta,775,1380153285,0
Mexico,11238,31955962404,1
Morocco,7100,696365089,0
Netherlands,334578,60073008423,1
New Zealand,4575,566383135,1
Norway,43019,2689936524,1
Pakistan,800,120554724,0
Panama,926,2054564,0
Peru,10000,57421038,0
Philippines,3215,25869410149,0
Poland,21380,1989231014,1
Portugal,8746,2701050865,1
Qatar,775,457078,0
Romania,13477,719984879,0
Russia,14365,5254188367,0
Saudi Arabia,750,41206324,0
Senegal,775,29455123,0
Singapore,24704,94225281972,0
Slovakia,14200,1302981576,1
Slovenia,2510,821284815,1
South Africa,882,1273558110,0
Spain,120461,10241789363,1
Sweden,157636,17296306006,1
Switzerland,71464,26743351385,1
Thailand,6807.87,20610893825,0
Tunisia,750,377166200,0
Turkey,29200,1010840536,1
Ukraine,814,1461350770,0
United Arab Emirates,4185,10354212,0
United Kingdom,781554,65342926124,1
United States,970954,1.76E+11,1
Uruguay,1600,27116982,0
Venezuela,1337,121189638,0
Vietnam,3615,621555814,0
